required_level,item_level,quality,quality_label,inventory_type,inventory_label,subclass,subclass_label,slot_key,role,count,median_visible_budget,median_total_budget_with_sockets,median_target_budget,median_percent_over_under
0,14,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,caster,1,3.34,3.34,6.699,-50.139
0,14,2,Uncommon,26,Ranged,19,Wand,ranged,caster,1,1.0,1.0,3.721,-73.129
0,15,2,Uncommon,5,Chest,2,Leather,chest,caster,1,3.67,3.67,4.029,-8.905
0,15,2,Uncommon,5,Chest,3,Mail,chest,generic,1,2.68,2.68,4.029,-33.479
0,15,2,Uncommon,6,Waist,1,Cloth,waist,caster,5,3.34,3.34,2.981,12.032
0,15,2,Uncommon,6,Waist,2,Leather,waist,caster,1,3.0,3.0,2.981,0.627
0,15,2,Uncommon,6,Waist,2,Leather,waist,generic,1,2.01,2.01,2.981,-32.58
0,15,2,Uncommon,6,Waist,2,Leather,waist,physical,1,3.34,3.34,2.981,12.032
0,15,2,Uncommon,6,Waist,3,Mail,waist,generic,1,2.01,2.01,2.981,-32.58
0,15,2,Uncommon,6,Waist,3,Mail,waist,physical,2,3.34,3.34,2.981,12.032
0,15,2,Uncommon,7,Legs,1,Cloth,legs,caster,1,4.0,4.0,4.029,-0.714
0,15,2,Uncommon,7,Legs,2,Leather,legs,caster,1,5.0,5.0,4.029,24.107
0,15,2,Uncommon,7,Legs,2,Leather,legs,physical,2,4.0,4.0,4.029,-0.714
0,15,2,Uncommon,8,Feet,3,Mail,feet,generic,2,2.01,2.01,2.981,-32.58
0,15,2,Uncommon,10,Hands,1,Cloth,hands,caster,1,4.0,4.0,2.981,34.17
0,15,2,Uncommon,10,Hands,2,Leather,hands,caster,1,4.0,4.0,2.981,34.17
0,15,2,Uncommon,13,One-hand Weapon,0,Axe,weapon_one_hand,generic,5,0.67,0.67,4.029,-83.37
0,15,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,generic,5,0.67,0.67,4.029,-83.37
0,15,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,generic,6,0.67,0.67,4.029,-83.37
0,15,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,generic,6,0.67,0.67,4.029,-83.37
0,15,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,physical,1,1.0,1.0,4.029,-75.179
0,15,2,Uncommon,14,Shield,6,Shield,shield,tank,2,2.0,2.0,2.981,-32.915
0,15,2,Uncommon,16,Cloak,1,Cloth,cloak,caster,3,2.0,2.0,2.256,-11.352
0,15,2,Uncommon,16,Cloak,1,Cloth,cloak,generic,2,1.34,1.34,2.256,-40.606
0,15,2,Uncommon,16,Cloak,1,Cloth,cloak,physical,1,2.0,2.0,2.256,-11.352
0,15,2,Uncommon,17,Two-hand Weapon,1,Two-hand Axe,weapon_two_hand,physical,1,4.0,4.0,7.252,-44.841
0,15,2,Uncommon,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,physical,1,4.01,4.01,7.252,-44.703
0,15,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,generic,1,2.68,2.68,7.252,-63.044
0,15,2,Uncommon,20,Robe,1,Cloth,chest,caster,3,5.34,5.34,4.029,32.546
0,15,2,Uncommon,20,Robe,1,Cloth,chest,generic,1,2.68,2.68,4.029,-33.479
0,15,2,Uncommon,23,Held in Off-hand,0,Misc,held_in_off_hand,caster,1,2.0,2.0,2.256,-11.352
0,16,2,Uncommon,5,Chest,1,Cloth,chest,caster,1,4.34,4.34,4.339,0.019
0,16,2,Uncommon,5,Chest,2,Leather,chest,physical,2,4.34,4.34,4.339,0.019
0,16,2,Uncommon,5,Chest,3,Mail,chest,caster,1,5.0,5.0,4.339,15.23
0,16,2,Uncommon,5,Chest,3,Mail,chest,physical,1,4.01,4.01,4.339,-7.586
0,16,2,Uncommon,6,Waist,2,Leather,waist,caster,1,3.34,3.34,3.211,4.018
0,16,2,Uncommon,7,Legs,1,Cloth,legs,caster,1,4.34,4.34,4.339,0.019
0,16,2,Uncommon,7,Legs,3,Mail,legs,caster,1,4.01,4.01,4.339,-7.586
0,16,2,Uncommon,8,Feet,3,Mail,feet,physical,1,3.34,3.34,3.211,4.018
0,16,2,Uncommon,10,Hands,1,Cloth,hands,caster,1,3.0,3.0,3.211,-6.571
0,16,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,caster,1,1.67,1.67,4.339,-61.513
0,16,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,generic,1,1.34,1.34,4.339,-69.118
0,16,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,physical,1,2.0,2.0,4.339,-53.908
0,16,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,physical,1,1.67,1.67,4.339,-61.513
0,16,2,Uncommon,14,Shield,6,Shield,shield,tank,1,1.34,1.34,3.211,-58.268
0,16,2,Uncommon,16,Cloak,1,Cloth,cloak,generic,1,1.34,1.34,2.43,-44.854
0,16,2,Uncommon,17,Two-hand Weapon,1,Two-hand Axe,weapon_two_hand,physical,1,4.34,4.34,7.81,-44.434
0,16,2,Uncommon,17,Two-hand Weapon,5,Two-hand Mace,weapon_two_hand,physical,1,4.34,4.34,7.81,-44.434
0,16,2,Uncommon,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,physical,1,5.0,5.0,7.81,-35.984
0,16,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,caster,1,4.34,4.34,7.81,-44.434
0,16,2,Uncommon,23,Held in Off-hand,0,Misc,held_in_off_hand,caster,1,2.0,2.0,2.43,-17.693
0,16,2,Uncommon,26,Ranged,18,Crossbow,ranged,physical,1,1.67,1.67,4.339,-61.513
0,17,2,Uncommon,7,Legs,1,Cloth,legs,caster,2,6.01,6.01,4.652,29.178
0,17,2,Uncommon,7,Legs,2,Leather,legs,physical,2,6.005,6.005,4.652,29.071
0,17,2,Uncommon,7,Legs,3,Mail,legs,caster,1,6.0,6.0,4.652,28.963
0,17,2,Uncommon,7,Legs,3,Mail,legs,physical,1,6.01,6.01,4.652,29.178
0,17,2,Uncommon,8,Feet,1,Cloth,feet,caster,1,3.39,3.39,3.443,-1.535
0,17,2,Uncommon,8,Feet,2,Leather,feet,physical,1,3.0,3.0,3.443,-12.863
0,17,2,Uncommon,8,Feet,3,Mail,feet,generic,1,2.01,2.01,3.443,-41.618
0,17,2,Uncommon,8,Feet,3,Mail,feet,physical,1,3.0,3.0,3.443,-12.863
0,17,2,Uncommon,10,Hands,1,Cloth,hands,caster,1,3.34,3.34,3.443,-2.987
0,17,2,Uncommon,10,Hands,2,Leather,hands,caster,1,3.34,3.34,3.443,-2.987
0,17,2,Uncommon,10,Hands,2,Leather,hands,physical,1,3.34,3.34,3.443,-2.987
0,17,2,Uncommon,10,Hands,3,Mail,hands,caster,1,3.34,3.34,3.443,-2.987
0,17,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,physical,1,2.0,2.0,4.652,-57.012
0,17,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,physical,1,2.0,2.0,4.652,-57.012
0,17,2,Uncommon,14,Shield,6,Shield,shield,tank,2,2.675,2.675,3.443,-22.302
0,17,2,Uncommon,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,generic,1,3.35,3.35,8.374,-59.997
0,17,2,Uncommon,23,Held in Off-hand,0,Misc,held_in_off_hand,caster,2,3.17,3.17,2.605,21.671
0,17,2,Uncommon,26,Ranged,18,Crossbow,ranged,physical,1,1.0,1.0,4.652,-78.506
0,17,2,Uncommon,26,Ranged,19,Wand,ranged,caster,1,1.0,1.0,4.652,-78.506
0,18,2,Uncommon,5,Chest,2,Leather,chest,physical,1,7.01,7.01,4.969,41.087
0,18,2,Uncommon,5,Chest,3,Mail,chest,physical,1,7.01,7.01,4.969,41.087
0,18,2,Uncommon,6,Waist,3,Mail,waist,physical,1,4.01,4.01,3.677,9.064
0,18,2,Uncommon,7,Legs,1,Cloth,legs,caster,2,5.67,5.67,4.969,14.117
0,18,2,Uncommon,7,Legs,2,Leather,legs,caster,1,5.34,5.34,4.969,7.476
0,18,2,Uncommon,7,Legs,2,Leather,legs,physical,2,6.335,6.335,4.969,27.501
0,18,2,Uncommon,7,Legs,3,Mail,legs,physical,2,5.675,5.675,4.969,14.218
0,18,2,Uncommon,8,Feet,2,Leather,feet,generic,1,2.68,2.68,3.677,-27.109
0,18,2,Uncommon,8,Feet,2,Leather,feet,physical,1,3.67,3.67,3.677,-0.183
0,18,2,Uncommon,8,Feet,3,Mail,feet,caster,1,4.01,4.01,3.677,9.064
0,18,2,Uncommon,9,Wrist,1,Cloth,wrist,caster,3,3.34,3.34,2.782,20.04
0,18,2,Uncommon,9,Wrist,2,Leather,wrist,caster,1,3.34,3.34,2.782,20.04
0,18,2,Uncommon,9,Wrist,2,Leather,wrist,generic,1,2.01,2.01,2.782,-27.76
0,18,2,Uncommon,9,Wrist,2,Leather,wrist,physical,1,3.34,3.34,2.782,20.04
0,18,2,Uncommon,9,Wrist,3,Mail,wrist,physical,1,3.67,3.67,2.782,31.9
0,18,2,Uncommon,10,Hands,1,Cloth,hands,caster,2,5.0,5.0,3.677,35.99
0,18,2,Uncommon,10,Hands,2,Leather,hands,physical,2,5.0,5.0,3.677,35.99
0,18,2,Uncommon,10,Hands,3,Mail,hands,physical,1,3.67,3.67,3.677,-0.183
0,18,2,Uncommon,13,One-hand Weapon,0,Axe,weapon_one_hand,physical,1,2.0,2.0,4.969,-59.747
0,18,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,physical,1,1.67,1.67,4.969,-66.389
0,18,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,physical,1,1.67,1.67,4.969,-66.389
0,18,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,caster,1,1.67,1.67,4.969,-66.389
0,18,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,generic,1,1.34,1.34,4.969,-73.03
0,18,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,physical,1,1.67,1.67,4.969,-66.389
0,18,2,Uncommon,16,Cloak,1,Cloth,cloak,caster,1,3.0,3.0,2.782,7.821
0,18,2,Uncommon,16,Cloak,1,Cloth,cloak,generic,2,2.01,2.01,2.782,-27.76
0,18,2,Uncommon,17,Two-hand Weapon,1,Two-hand Axe,weapon_two_hand,physical,2,5.005,5.005,8.943,-44.037
0,18,2,Uncommon,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,caster,1,5.0,5.0,8.943,-44.093
0,18,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,caster,1,6.0,6.0,8.943,-32.912
0,18,2,Uncommon,20,Robe,1,Cloth,chest,caster,1,7.01,7.01,4.969,41.087
0,18,2,Uncommon,23,Held in Off-hand,0,Misc,held_in_off_hand,caster,1,3.0,3.0,2.782,7.821
0,18,3,Rare,2,Neck,0,Misc,neck,generic,1,1.34,1.34,3.273,-59.064
0,18,3,Rare,13,One-hand Weapon,7,Sword,weapon_one_hand,physical,1,3.0,3.0,5.845,-48.677
0,18,3,Rare,14,Shield,6,Shield,shield,tank,1,3.35,3.35,4.326,-22.554
0,18,3,Rare,21,Main-hand Weapon,15,Dagger,weapon_main_hand,caster,1,4.3,4.3,5.845,-26.438
0,18,3,Rare,23,Held in Off-hand,0,Misc,held_in_off_hand,caster,1,5.0,5.0,3.273,52.746
0,19,2,Uncommon,5,Chest,2,Leather,chest,physical,1,7.01,7.01,5.287,32.582
0,19,2,Uncommon,8,Feet,1,Cloth,feet,caster,1,4.01,4.01,3.913,2.489
0,19,2,Uncommon,8,Feet,2,Leather,feet,physical,1,5.0,5.0,3.913,27.792
0,19,2,Uncommon,8,Feet,3,Mail,feet,physical,1,4.01,4.01,3.913,2.489
0,19,2,Uncommon,9,Wrist,1,Cloth,wrist,caster,1,3.39,3.39,2.961,14.492
0,19,2,Uncommon,9,Wrist,2,Leather,wrist,physical,1,3.34,3.34,2.961,12.804
0,19,2,Uncommon,9,Wrist,3,Mail,wrist,physical,1,3.34,3.34,2.961,12.804
0,19,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,physical,1,3.0,3.0,5.287,-43.26
0,19,2,Uncommon,14,Shield,6,Shield,shield,tank,1,2.01,2.01,3.913,-48.628
0,19,2,Uncommon,16,Cloak,1,Cloth,cloak,generic,1,2.01,2.01,2.961,-32.115
0,19,2,Uncommon,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,caster,1,6.0,6.0,9.517,-36.956
0,19,2,Uncommon,23,Held in Off-hand,0,Misc,held_in_off_hand,caster,1,4.0,4.0,2.961,35.094
0,20,2,Uncommon,1,Head,1,Cloth,head,caster,1,6.68,6.68,5.609,19.103
0,20,2,Uncommon,6,Waist,1,Cloth,waist,caster,3,6.01,6.01,4.15,44.807
0,20,2,Uncommon,6,Waist,2,Leather,waist,physical,1,6.01,6.01,4.15,44.807
0,20,2,Uncommon,6,Waist,3,Mail,waist,physical,1,6.01,6.01,4.15,44.807
0,20,2,Uncommon,7,Legs,1,Cloth,legs,caster,2,7.34,7.34,5.609,30.871
0,20,2,Uncommon,7,Legs,2,Leather,legs,physical,3,6.68,6.68,5.609,19.103
0,20,2,Uncommon,9,Wrist,1,Cloth,wrist,caster,1,3.67,3.67,3.141,16.849
0,20,2,Uncommon,9,Wrist,2,Leather,wrist,physical,1,3.34,3.34,3.141,6.342
0,20,2,Uncommon,10,Hands,1,Cloth,hands,caster,2,6.0,6.0,4.15,44.566
0,20,2,Uncommon,10,Hands,1,Cloth,hands,physical,1,5.01,5.01,4.15,20.713
0,20,2,Uncommon,10,Hands,2,Leather,hands,caster,1,6.0,6.0,4.15,44.566
0,20,2,Uncommon,10,Hands,2,Leather,hands,physical,3,5.01,5.01,4.15,20.713
0,20,2,Uncommon,10,Hands,3,Mail,hands,physical,3,5.01,5.01,4.15,20.713
0,20,2,Uncommon,11,Finger,0,Misc,finger,caster,1,4.0,4.0,3.141,27.356
0,20,2,Uncommon,11,Finger,0,Misc,finger,physical,2,3.835,3.835,3.141,22.103
0,20,2,Uncommon,13,One-hand Weapon,4,Mace,weapon_one_hand,physical,2,4.175,4.175,5.609,-25.56
0,20,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,generic,2,2.01,2.01,5.609,-64.162
0,20,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,physical,1,3.0,3.0,5.609,-46.51
0,20,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,generic,1,2.01,2.01,5.609,-64.162
0,20,2,Uncommon,13,One-hand Weapon,15,Dagger,weapon_one_hand,physical,2,3.0,3.0,5.609,-46.51
0,20,2,Uncommon,14,Shield,6,Shield,shield,tank,6,3.0,3.0,4.15,-27.717
0,20,2,Uncommon,16,Cloak,1,Cloth,cloak,generic,2,2.01,2.01,3.141,-36.004
0,20,2,Uncommon,16,Cloak,1,Cloth,cloak,physical,1,3.0,3.0,3.141,-4.483
0,20,2,Uncommon,17,Two-hand Weapon,1,Two-hand Axe,weapon_two_hand,caster,1,6.0,6.0,10.095,-40.567
0,20,2,Uncommon,17,Two-hand Weapon,1,Two-hand Axe,weapon_two_hand,generic,1,4.02,4.02,10.095,-60.18
0,20,2,Uncommon,17,Two-hand Weapon,1,Two-hand Axe,weapon_two_hand,physical,2,5.335,5.335,10.095,-47.154
0,20,2,Uncommon,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,physical,2,6.685,6.685,10.095,-33.782
0,20,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,caster,3,6.0,6.0,10.095,-40.567
0,20,2,Uncommon,20,Robe,1,Cloth,chest,caster,2,6.0,6.0,5.609,6.979
0,20,2,Uncommon,23,Held in Off-hand,0,Misc,held_in_off_hand,caster,1,3.34,3.34,3.141,6.342
0,21,2,Uncommon,8,Feet,2,Leather,feet,caster,1,5.68,5.68,4.39,29.389
0,21,2,Uncommon,10,Hands,3,Mail,hands,physical,1,5.0,5.0,4.39,13.898
0,21,2,Uncommon,11,Finger,0,Misc,finger,caster,1,5.0,5.0,3.322,50.509
0,21,2,Uncommon,11,Finger,0,Misc,finger,generic,1,4.01,4.01,3.322,20.708
0,21,2,Uncommon,13,One-hand Weapon,7,Sword,weapon_one_hand,generic,1,2.01,2.01,5.932,-66.117
0,21,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,caster,1,7.68,7.68,10.678,-28.077
0,21,2,Uncommon,23,Held in Off-hand,0,Misc,held_in_off_hand,caster,1,4.0,4.0,3.322,20.407
0,21,3,Rare,13,One-hand Weapon,15,Dagger,weapon_one_hand,generic,1,3.35,3.35,6.979,-52.0
0,21,3,Rare,17,Two-hand Weapon,8,Two-hand Sword,weapon_two_hand,physical,1,12.68,12.68,12.562,0.936
0,21,3,Rare,17,Two-hand Weapon,10,Staff,weapon_two_hand,caster,1,14.0,14.0,12.562,11.443
0,22,2,Uncommon,5,Chest,1,Cloth,chest,caster,1,9.0,9.0,6.258,43.81
0,22,2,Uncommon,5,Chest,2,Leather,chest,generic,1,6.02,6.02,6.258,-3.807
0,22,2,Uncommon,5,Chest,3,Mail,chest,generic,1,5.02,5.02,6.258,-19.786
0,22,2,Uncommon,6,Waist,2,Leather,waist,physical,1,6.01,6.01,4.631,29.774
0,22,2,Uncommon,8,Feet,3,Mail,feet,physical,1,5.68,5.68,4.631,22.649
0,22,2,Uncommon,10,Hands,3,Mail,hands,physical,1,5.0,5.0,4.631,7.965
0,22,2,Uncommon,11,Finger,0,Misc,finger,caster,1,3.67,3.67,3.505,4.719
0,22,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,generic,1,4.69,4.69,11.265,-58.366
0,22,2,Uncommon,20,Robe,1,Cloth,chest,caster,1,8.0,8.0,6.258,27.831
0,23,2,Uncommon,5,Chest,3,Mail,chest,physical,1,8.01,8.01,6.587,21.612
0,23,2,Uncommon,8,Feet,1,Cloth,feet,caster,2,7.0,7.0,4.874,43.619
0,23,2,Uncommon,10,Hands,3,Mail,hands,physical,1,7.0,7.0,4.874,43.619
0,23,2,Uncommon,11,Finger,0,Misc,finger,caster,1,4.01,4.01,3.688,8.718
0,23,2,Uncommon,17,Two-hand Weapon,10,Staff,weapon_two_hand,caster,1,8.0,8.0,11.856,-32.522
0,23,3,Rare,17,Two-hand Weapon,6,Polearm,weapon_two_hand,generic,1,18.03,18.03,13.948,29.267
0,24,2,Uncommon,1,Head,1,Cloth,head,caster,1,11.0,11.0,6.917,59.031
0,24,2,Uncommon,5,Chest,3,Mail,chest,caster,1,10.68,10.68,6.917,54.405
0,24,2,Uncommon,5,Chest,3,Mail,chest,physical,1,9.0,9.0,6.917,30.116
0,24,2,Uncommon,8,Feet,1,Cloth,feet,caster,2,7.34,7.34,5.119,43.401
