entry,name,class,subclass,subclass_label,inventory_type,inventory_label,slot_key,role,quality,quality_label,origin_expansion,origin_label,origin_source,present_in_vanilla,present_in_tbc,present_in_wrath,pvp_family,required_level,item_level,expansion_band,ilvl_band,old_armor,new_armor,armor_peer_median,armor_sample_count,armor_peer_window,armor_classification,armor_change_percent,old_damage_min,old_damage_max,new_damage_min,new_damage_max,weapon_damage_peer_median_dps,weapon_damage_sample_count,weapon_damage_peer_window,weapon_damage_change_percent,old_dps,new_dps,old_stat_list,new_stat_list,old_weighted_budget,new_weighted_budget,special_weapon_budget,special_weapon_stat_list,socket_budget,target_budget,target_visible_budget,target_visible_budget_unclamped,target_source,target_sample_count,peer_group,peer_window,peer_p10,peer_p25,peer_p75,peer_p90,peer_outlier,sql_blocked,sql_block_reasons,percent_over_under_before,percent_over_under_after,action,skip_reasons,warnings,special_effect_flags
2572,Red Linen Robe,4,1,Cloth,20,Robe,chest,caster,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,19,19,19.0,17,within 5 ilvl,within_tolerance,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Intellect,+1 Intellect,1.0,1.0,0.0,,0.0,4.68,1.2,4.68,peer_+/-10_ilvl,10,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=caster,+/-10_ilvl,1.9,2.67,5.75,6.001,True,True,peer target requires 368.0% visible budget change,-78.63247863247864,-78.63247863247864,unchanged,,SQL blocked: peer target requires 368.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor unchanged: within +/-15% peer tolerance from 17 sample(s),
2958,Journeyman's Pants,4,1,Cloth,7,Legs,legs,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,17,26,26.0,22,within 10 ilvl,peer_median,52.941,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,6.0,1.2,6.0,peer_+/-10_ilvl,13,origin=0;quality=2;slot=legs;armor=1;weapon=none;pvp=none;role=healer,+/-10_ilvl,3.2,4.0,6.68,6.944,True,True,"peer target requires 500.0% visible budget change; armor updates require allow_armor_updates=true; armor change requires 52.9% move, above +/-15% armor cap",-83.33333333333334,-83.33333333333334,report-only,,"SQL blocked: peer target requires 500.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor median from 22 sample(s) within 10 ilvl; SQL blocked: armor updates require allow_armor_updates=true; SQL blocked: armor change requires 52.9% move, above +/-15% armor cap",
2962,Burnt Leather Breeches,4,2,Leather,7,Legs,legs,physical,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,48,48,55.5,12,within 5 ilvl,within_tolerance,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Agility,+1 Agility,1.0,1.0,0.0,,0.0,6.0,1.2,6.0,peer_+/-10_ilvl,10,origin=0;quality=2;slot=legs;armor=2;weapon=none;pvp=none;role=physical,+/-10_ilvl,2.9,4.0,6.5024999999999995,6.811999999999999,True,True,peer target requires 500.0% visible budget change,-83.33333333333334,-83.33333333333334,unchanged,,SQL blocked: peer target requires 500.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor unchanged: within +/-15% peer tolerance from 12 sample(s),
2966,Warrior's Pants,4,3,Mail,7,Legs,legs,generic,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,94,94,110.0,8,within 5 ilvl,within_tolerance,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Stamina,+1 Stamina,0.67,0.67,0.0,,0.0,0.67,0.67,0.67,no_peer_skip,0,origin=0;quality=2;slot=legs;armor=3;weapon=none;pvp=none;role=generic,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples,0.0,0.0,unchanged,,normal stats unchanged: not enough comparable peer samples; armor unchanged: within +/-15% peer tolerance from 8 sample(s),
3000,Brood Mother Carapace,4,2,Leather,5,Chest,chest,generic,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,55,55,62.0,15,within 5 ilvl,within_tolerance,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Stamina,+1 Stamina,0.67,0.67,0.0,,0.0,0.67,0.67,0.67,no_peer_skip,0,origin=0;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=generic,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples,0.0,0.0,unchanged,,normal stats unchanged: not enough comparable peer samples; armor unchanged: within +/-15% peer tolerance from 15 sample(s),
3471,Copper Chain Vest,4,3,Mail,5,Chest,chest,physical,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,108,129,129.0,11,within 5 ilvl,peer_median,19.444,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+2 Attack Power,+2 Attack Power,1.0,1.0,0.0,,0.0,4.34,1.2,4.34,peer_+/-10_ilvl,9,origin=0;quality=2;slot=chest;armor=3;weapon=none;pvp=none;role=physical,+/-10_ilvl,2.536,3.0,5.01,6.01,True,True,"peer target requires 334.0% visible budget change; armor updates require allow_armor_updates=true; armor change requires 19.4% move, above +/-15% armor cap",-76.95852534562212,-76.95852534562212,report-only,,"SQL blocked: peer target requires 334.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor median from 11 sample(s) within 5 ilvl; SQL blocked: armor updates require allow_armor_updates=true; SQL blocked: armor change requires 19.4% move, above +/-15% armor cap",
4861,Sleek Feathered Tunic,4,2,Leather,5,Chest,chest,physical,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,55,55,62.0,15,within 5 ilvl,within_tolerance,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Agility,+1 Agility,1.0,1.0,0.0,,0.0,4.01,1.2,4.01,peer_+/-10_ilvl,10,origin=0;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=physical,+/-10_ilvl,2.34,2.67,6.0075,8.0,True,True,peer target requires 301.0% visible budget change,-75.06234413965088,-75.06234413965088,unchanged,,SQL blocked: peer target requires 301.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor unchanged: within +/-15% peer tolerance from 15 sample(s),
6238,Brown Linen Robe,4,1,Cloth,20,Robe,chest,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,19,19,19.0,17,within 5 ilvl,within_tolerance,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,2.0,1.2,2.0,peer_+/-5_ilvl,10,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,+/-5_ilvl,1.0,1.0,2.75,3.34,True,True,peer target requires 100.0% visible budget change,-50.0,-50.0,unchanged,,SQL blocked: peer target requires 100.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor unchanged: within +/-15% peer tolerance from 17 sample(s),
6241,White Linen Robe,4,1,Cloth,20,Robe,chest,caster,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,5,10,classic_leveling,010-019,19,19,19.0,17,within 5 ilvl,within_tolerance,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Intellect,+1 Intellect,1.0,1.0,0.0,,0.0,4.68,1.2,4.68,peer_+/-10_ilvl,10,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=caster,+/-10_ilvl,1.9,2.67,5.75,6.001,True,True,peer target requires 368.0% visible budget change,-78.63247863247864,-78.63247863247864,unchanged,,SQL blocked: peer target requires 368.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; armor unchanged: within +/-15% peer tolerance from 17 sample(s),
7507,Arcane Orb,4,0,Misc,23,Held in Off-hand,held_in_off_hand,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,0,10,classic_leveling,010-019,0,0,0.0,0,,not_armor,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,no_peer_skip,0,origin=0;quality=2;slot=held_in_off_hand;armor=0;weapon=none;pvp=none;role=healer,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; special-effect/itemset rows require --allow-special-effects,0.0,0.0,unchanged,,spell payload detected and left unchanged; SQL blocked: special-effect/itemset rows require --allow-special-effects; normal stats unchanged: not enough comparable peer samples,spell_payload
7508,Ley Orb,4,0,Misc,23,Held in Off-hand,held_in_off_hand,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,0,10,classic_leveling,010-019,0,0,0.0,0,,not_armor,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,+1 Spirit,+1 Spirit,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,no_peer_skip,0,origin=0;quality=2;slot=held_in_off_hand;armor=0;weapon=none;pvp=none;role=healer,insufficient_samples,0.0,0.0,0.0,0.0,False,True,not enough comparable peer samples; special-effect/itemset rows require --allow-special-effects,0.0,0.0,unchanged,,spell payload detected and left unchanged; SQL blocked: special-effect/itemset rows require --allow-special-effects; normal stats unchanged: not enough comparable peer samples,spell_payload
9513,Ley Staff,2,10,Staff,17,Two-hand Weapon,weapon_two_hand,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,0,10,classic_leveling,010-019,0,0,0.0,0,,not_checked,0.0,16.0,25.0,26.0,40.0,11.406,17,within 10 ilvl,60.976,7.06896551724138,11.379310344827587,"+1 Spirit, +1 Intellect","+1 Spirit, +1 Intellect",2.0,2.0,0.0,,0.0,6.0,2.4,6.0,peer_+/-10_ilvl,13,origin=0;quality=2;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=healer,+/-10_ilvl,2.6000000000000005,5.0,6.0,6.0,True,True,peer target requires 200.0% visible budget change,-66.66666666666666,-66.66666666666666,report-only,,SQL blocked: peer target requires 200.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; weapon DPS median from 17 sample(s) within 10 ilvl,
9514,Arcane Staff,2,10,Staff,17,Two-hand Weapon,weapon_two_hand,healer,2,Uncommon,0,vanilla,origin_manifest,True,True,True,none,0,10,classic_leveling,010-019,0,0,0.0,0,,not_checked,0.0,16.0,25.0,26.0,40.0,11.406,17,within 10 ilvl,60.976,7.06896551724138,11.379310344827587,"+1 Spirit, +1 Intellect","+1 Spirit, +1 Intellect",2.0,2.0,0.0,,0.0,6.0,2.4,6.0,peer_+/-10_ilvl,13,origin=0;quality=2;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=healer,+/-10_ilvl,2.6000000000000005,5.0,6.0,6.0,True,True,peer target requires 200.0% visible budget change,-66.66666666666666,-66.66666666666666,report-only,,SQL blocked: peer target requires 200.0% visible budget change; visible stat target clamped to +/-20% safety cap; rounding remained outside configured tolerance; weapon DPS median from 17 sample(s) within 10 ilvl,
